,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7,John Egbunu,PF,4,1,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,Jordan McLaughlin,PG,13,1,5.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0
9,Chandler Chandler,C,12,1,1.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,2.0,0.0,2.0
10,Jock Landale,C,3,0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
11,Tanner Cousy,SF,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
12,TEAM TOTALS,,,43,96.0,8.0,15.0,27.0,34.0,54.0,18.0,25.0,9.0,10.0,3.0,121.0
13,PERCENTAGES,FG: 44.8%,3PT: 53.3%,FT: 79.4%,,,,,,,,,,,,
0,Rui Hachimura,SF,34,12,26.0,6.0,9.0,11.0,13.0,11.0,5.0,2.0,1.0,0.0,0.0,41.0
1,Clarence Withers,SG,40,13,25.0,4.0,6.0,10.0,11.0,10.0,7.0,2.0,6.0,1.0,0.0,40.0
2,Bobby McDermott,PG,30,7,12.0,2.0,3.0,2.0,2.0,5.0,10.0,3.0,0.0,2.0,1.0,18.0
3,Jake Shuttlesworth,SF,21,8,14.0,1.0,1.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,18.0
4,Goga Bitadze,C,38,3,5.0,0.0,0.0,2.0,3.0,11.0,3.0,0.0,1.0,2.0,3.0,8.0
5,Cohn Irish,PF,26,1,4.0,0.0,0.0,4.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,6.0
6,Jahidi White,PF,24,2,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0
7,Juwanna Mann,PG,18,1,5.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,0.0,2.0
